Portál,Číslo,Název pozice,Link,Firma,Lokace,Typ úvazku,Datum inzerátu,Tag,Plat
jobs.cz,1,CAD kreslení nábytku IMOS + příprava dat pro výrobu nábytku; HOME OFFICE,https://www.jobs.cz/rpd/2000352099/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=228,"Truhlárna, s.r.o.",Středočeský kraj,,Příležitost dne,HOT,50 000 ‍–‍ 70 000 Kč
jobs.cz,2,Data Scientist / ML Engineer  (Senior/Medior),https://www.jobs.cz/rpd/2000218269/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,"Profinit EU, s.r.o.",okres Hlavní město Praha,,18. září,,
jobs.cz,3,Senior MLOps/Data Engineer v AI squadu,https://www.jobs.cz/rpd/2000285223/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,"Komerční banka, a.s.",Praha – Stodůlky,,Přidáno včera,NEW,
jobs.cz,4,DATA ENGINEER/BI DEVELOPER,https://www.jobs.cz/rpd/2000364030/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,"PHOENIX lékárenský velkoobchod, s.r.o.",Praha – Hostivař,,18. září,,
jobs.cz,5,DATA ENGINEER - objevuj s námi svět Big Data!,https://www.jobs.cz/rpd/2000247758/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,"ADASTRA, s.r.o.",Praha – Karlín,,23. září,,
jobs.cz,6,Cloud Data Engineer - Chcete pracovat s Azure / AWS?,https://www.jobs.cz/rpd/2000262758/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,"ADASTRA, s.r.o.",Praha – Karlín,,23. září,,
jobs.cz,7,Data Scientist and Process Mining Architect,https://www.jobs.cz/rpd/2000278901/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,Processand s.r.o.,Praha – Karlín,,24. září,,50 000 ‍–‍ 65 000 Kč
jobs.cz,8,Data Engineer - Financial Crime team,https://www.jobs.cz/rpd/2000250773/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,"PricewaterhouseCoopers Česká republika, s.r.o.",Praha – Nusle,,24. září,,
jobs.cz,9,Data Analyst,https://www.jobs.cz/rpd/2000336702/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,TIPSPORT a.s.,Beroun – Beroun-Centrum,,22. září,,
jobs.cz,10,Senior Data Architect,https://www.jobs.cz/rpd/2000342734/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,DoDo Czech s.r.o.,Praha – Karlín,,Končí zítra,,
jobs.cz,11,Data Science and Engineering,https://www.jobs.cz/rpd/2000311015/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,R4U s.r.o.,Praha,,Končí zítra,,
jobs.cz,12,Student/ka nebo stážista v oblasti analýzy výrobních dat,https://www.jobs.cz/rpd/2000277079/?searchId=055a01e2-1c7f-4ec6-b6db-79c5a1343f86&rps=233,AERO Vodochody AEROSPACE a.s.,Odolena Voda – Dolínek,,13. září,,
